"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2022","158.20","162.15","165.21","155.82","48.69K","-2.41%"
"Feb 12, 2022","162.11","163.43","168.59","160.18","72.76K","-0.77%"
"Feb 11, 2022","163.37","175.38","181.02","160.46","100.78K","-6.85%"
"Feb 10, 2022","175.38","187.88","188.80","175.08","129.26K","-6.66%"
"Feb 09, 2022","187.88","183.73","190.58","176.38","107.50K","2.27%"
"Feb 08, 2022","183.71","181.31","192.51","173.88","175.53K","1.32%"
"Feb 07, 2022","181.31","173.39","183.91","169.89","133.67K","4.57%"
"Feb 06, 2022","173.39","166.38","173.79","165.47","100.23K","4.21%"
"Feb 05, 2022","166.38","166.99","173.29","164.28","115.95K","-0.37%"
"Feb 04, 2022","166.99","152.97","166.99","151.40","136.47K","9.30%"
"Feb 03, 2022","152.79","151.22","153.69","145.62","86.02K","0.95%"
"Feb 02, 2022","151.35","163.61","164.40","149.59","103.39K","-7.49%"
"Feb 01, 2022","163.61","157.79","168.20","157.30","123.13K","3.69%"
"Jan 31, 2022","157.79","149.11","158.55","141.87","98.23K","5.82%"
"Jan 30, 2022","149.11","153.70","155.40","146.10","70.32K","-2.98%"
"Jan 29, 2022","153.70","148.99","156.92","147.79","78.96K","3.16%"
"Jan 28, 2022","148.99","144.52","150.60","139.48","144.24K","3.09%"
"Jan 27, 2022","144.52","146.28","151.27","137.41","146.40K","-1.20%"
"Jan 26, 2022","146.28","151.83","163.35","142.71","225.15K","-3.71%"
"Jan 25, 2022","151.92","152.15","156.02","145.80","164.18K","-0.12%"
"Jan 24, 2022","152.10","158.53","158.53","131.49","286.57K","-4.04%"
"Jan 23, 2022","158.50","146.91","163.28","145.42","191.59K","7.89%"
"Jan 22, 2022","146.91","171.38","175.30","135.23","296.26K","-14.28%"
"Jan 21, 2022","171.38","198.78","200.50","163.89","313.28K","-13.80%"
"Jan 20, 2022","198.81","210.21","221.21","197.52","111.20K","-5.47%"
"Jan 19, 2022","210.30","232.60","236.71","210.20","158.70K","-9.59%"
"Jan 18, 2022","232.60","226.69","240.30","222.80","231.76K","2.65%"
"Jan 17, 2022","226.60","242.61","244.30","221.50","160.76K","-6.60%"
"Jan 16, 2022","242.61","238.60","245.02","230.40","130.25K","1.67%"
"Jan 15, 2022","238.61","223.88","243.41","222.39","205.85K","6.57%"
"Jan 14, 2022","223.90","209.22","226.83","204.76","173.65K","7.07%"
"Jan 13, 2022","209.13","218.21","222.08","207.23","160.70K","-4.16%"
"Jan 12, 2022","218.19","213.37","222.33","210.71","114.66K","2.26%"
"Jan 11, 2022","213.37","199.91","216.90","196.82","121.72K","6.63%"
"Jan 10, 2022","200.09","209.49","213.49","188.01","220.40K","-4.40%"
"Jan 09, 2022","209.31","211.70","219.09","208.40","140.91K","-1.13%"
"Jan 08, 2022","211.70","211.24","230.60","200.89","275.95K","0.23%"
"Jan 07, 2022","211.20","221.30","221.79","200.20","233.87K","-4.57%"
"Jan 06, 2022","221.30","230.49","232.81","216.29","237.74K","-4.01%"
"Jan 05, 2022","230.55","252.03","259.21","215.02","206.29K","-8.52%"
"Jan 04, 2022","252.03","266.55","269.18","249.98","190.79K","-5.43%"
"Jan 03, 2022","266.51","265.30","285.61","262.71","278.76K","0.45%"
"Jan 02, 2022","265.30","266.52","268.81","253.20","135.93K","-0.46%"
"Jan 01, 2022","266.52","254.01","266.52","250.80","124.44K","4.93%"
"Dec 31, 2021","254.01","262.92","274.31","249.65","243.96K","-3.38%"
"Dec 30, 2021","262.88","236.27","265.69","231.10","227.76K","11.27%"
"Dec 29, 2021","236.27","252.30","258.94","235.12","278.84K","-6.36%"
"Dec 28, 2021","252.30","277.16","296.40","252.30","484.10K","-8.97%"
"Dec 27, 2021","277.16","267.84","293.10","265.71","261.66K","3.38%"
"Dec 26, 2021","268.09","263.71","277.33","250.20","211.06K","1.57%"
"Dec 25, 2021","263.96","270.35","278.80","257.51","241.50K","-2.24%"
"Dec 24, 2021","270.00","246.89","278.42","243.28","431.52K","9.21%"
"Dec 23, 2021","247.23","206.48","248.18","203.99","523.24K","19.73%"
"Dec 22, 2021","206.48","186.00","216.01","185.80","342.59K","11.01%"
"Dec 21, 2021","186.00","180.73","186.60","178.90","98.46K","2.95%"
"Dec 20, 2021","180.68","183.31","186.11","167.41","124.54K","-1.44%"
"Dec 19, 2021","183.31","193.11","193.20","182.50","107.44K","-5.16%"
"Dec 18, 2021","193.28","186.79","201.49","183.29","452.18K","3.51%"
"Dec 17, 2021","186.72","174.18","188.59","162.00","169.82K","7.20%"
"Dec 16, 2021","174.18","173.20","180.99","172.21","94.61K","0.57%"
"Dec 15, 2021","173.20","169.50","175.70","159.18","138.08K","2.18%"
"Dec 14, 2021","169.50","162.30","170.22","158.61","98.48K","4.45%"
"Dec 13, 2021","162.28","179.90","180.79","157.60","104.24K","-9.80%"
"Dec 12, 2021","179.90","181.07","182.11","175.70","60.03K","-0.35%"
"Dec 11, 2021","180.53","166.96","181.00","163.19","87.14K","8.12%"
"Dec 10, 2021","166.96","176.76","181.19","166.62","149.32K","-5.74%"
"Dec 09, 2021","177.13","202.90","203.70","176.50","149.67K","-12.70%"
"Dec 08, 2021","202.90","186.90","202.90","179.79","180.80K","8.56%"
"Dec 07, 2021","186.90","185.10","197.09","180.60","175.86K","0.97%"
"Dec 06, 2021","185.10","191.59","191.79","168.49","315.31K","-3.39%"
"Dec 05, 2021","191.59","203.17","205.72","186.91","118.01K","-5.71%"
"Dec 04, 2021","203.19","225.98","226.00","160.43","434.40K","-10.08%"
"Dec 03, 2021","225.98","244.80","246.01","218.01","106.92K","-7.69%"
"Dec 02, 2021","244.80","250.70","250.71","240.71","81.11K","-2.36%"
